name,class,introduction,learner_number,description,path,difficulty,duration,comprehensive_score,evaluation_number,utility_score,concise_score,logic_score,当前链接,上级链接,下载时间
Android开发中的MVC_MVP_MVVM,Android,一门带你全面了解Android中的MVC-MVP-MVVM三种常用框架模型。,6073,Android大型项目中，为了达到模块内部的高聚合和模块间的低耦合性，提高项目的可维护性和可扩展性，我们通常会使用一种框架模型，本门课程主要带大家认识学习Android的MVC-MVP-MVVM三种框架模型。在课程中除了会对比介绍每个模型的优缺点，还会结合代码案例来解析每个模型的使用。,课程\移动开发\Android\Android开发中的MVC_MVP_MVVM,初级," 1小时18分",9.47,10,10.0,8.4,10.0,http://www.imooc.com/learn/1177,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:25
逻辑回归原理与应用,算法,深入浅出分析推导逻辑回归数学原理，并用python完成模型解决问题,5386,本课程从逻辑回归的定义及其在机器学习所处地位入手，深入浅出的分析和推导逻辑回归算法的数学原理。以逻辑回归原理为基础，采用python语言，实际的开发一个基于梯度下降法的逻辑回归模型；并根据模拟的数据集，对模型的预测效果作出量化的评估。,课程\算法\逻辑回归原理与应用,中级," 2小时31分",9.50,8,9.8,9.2,9.5,http://www.imooc.com/learn/512,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:25
开发工具IDEA从入门到爱不释手,Java,全面了解开发工具idea的常用操作，快速提高开发效率。,13610,系统的介绍了开发工具IDEA的常用操作，从开发过程中的编码，到运行调试，循序渐进;结合实际项目开发，从常用配置、快捷键使用、编码技巧及调试技巧、常用插件等角度，系统介绍如何高效的使用idea开发项目。整套课程紧密结合实战，从基本操作到高级进阶，是老师多年实战经验的总结。,课程\后端开发\Java\开发工具IDEA从入门到爱不释手,入门," 3小时30分",9.83,19,10.0,9.8,9.7,http://www.imooc.com/learn/1160,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:26
ViewPager+Tab特效实现微信主界面,Android,综合利用ViewPager、Tab等诸多核心技术实现微信主界面的框架搭建任务,4833,本课程以微信主界面为例，介绍如何使用ViewPager和FragmentPagerAdapter实现多页面滑动效果，底部Tab的指示器动画特效，还将扩展ViewPager实现透明度渐变、旋转等特效。,课程\移动开发\Android\ViewPager+Tab特效实现微信主界面,初级," 3小时 4分",9.53,10,9.4,9.2,10.0,http://www.imooc.com/learn/1116,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:26
【Flutter入门】3小时完成微信读书发现界面 ,,"零基础快速上手Flutter，还原真实大厂案例，增强移动端面试竞争力。
",2631,,课程\移动开发\Android\【Flutter入门】3小时完成微信读书发现界面,初级," 3小时43分",,,,,,http://www.imooc.com/course/introduction/id/1170,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:26
Web项目开发及线上部署,,Web项目从开发到上线及绑定域名全流程讲解,682,,课程\后端开发\Java\Web项目开发及线上部署,初级," 3小时40分",,,,,,http://www.imooc.com/course/introduction/id/1230,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:27
PWA入门,WebApp,教你入门现代化完美体验的web前端应用。,8388,PWA（ProgressiveWebApp）是一种理念，使用多种技术来增强webapp的功能，可以让网站的体验变得更好，能够模拟一些原生功能，比如通知推送。在移动端利用标准化框架，让网页应用呈现和原生应用相似的体验。,课程\前端开发\WebApp\PWA入门,入门,43分,9.17,19,8.8,9.6,9.1,http://www.imooc.com/learn/1092,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:27
使用Prometheus实践基于Spring Boot监控告警体系,Java,基于Spring Boot2.X使用Prometheus实现监控大盘及微服务告警功能。,2088,本课程采用理论结合实践方式实现监控系统Prometheus。介绍CNCF云原生及微服务实际监控需求，介绍Devops、MDD、CNCF、Prometheus等概念，然后手把手带大家搭建基于SpringBoot2的实战监控体系，让大家体会企业项目面向DevOps开发的监控情景。,课程\后端开发\Java\使用Prometheus实践基于SpringBoot监控告警体系,中级," 1小时53分",9.23,6,10.0,8.7,9.0,http://www.imooc.com/learn/1231,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:28
PHP+Mysql+Ajax实现分页,PHP,本课程从前端到后端系统的讲解了分页功能的开发,6747,分页一直是一个强需求，本课程首先从MySQL的角度讲解了分页的实现，其次介绍了PHP如何原生操作MySQL，然后介绍了前端AJAX的使用，最后通过开发一个分页实例来串联之前所讲。希望大家通过对本课程的学习能更好的理解分页的原理以及如何通过PHP,课程\后端开发\PHP\PHP+Mysql+Ajax实现分页,中级," 3小时20分",9.57,9,8.7,10.0,10.0,http://www.imooc.com/learn/1117,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:28
Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效 -上,动效动画,Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效,3260,在电影《攻壳机动队》（2017年）中，电影的开篇动画展现了未来世界中具有人类大脑和灵魂的生化机器人的制造过程。科技感十足，可谓精彩绝伦。其中，生化机器人的表层涂料开裂，脱落，飘散的动画效果，让人过目难忘，给观众留下了深刻的印象。类似的效果，在《变形金刚4》等电影中也曾出现过。在此，我们在Maya平台下，利用布料特效系统，模仿电影《攻壳机动队》中的这一效果，给大家讲解表皮脱落这类特效动画的制作原理、制作流程及制作方法。,课程\UI设计&多媒体\动效动画\Maya特效之表皮脱落效果——仿电影《攻壳机动队》特效-上,入门," 1小时39分",8.83,4,10.0,6.5,10.0,http://www.imooc.com/learn/1080,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:29
Tomcat服务配置与性能优化,Java,Tomcat安装、配置与性能优化！,20875,本课程从Tocmat环境安装开始介绍，然后介绍了安全配置和性能优化的内容。,课程\后端开发\Java\Tomcat服务配置与性能优化,初级," 2小时23分",9.13,26,9.0,9.5,8.9,http://www.imooc.com/learn/1114,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:29
Spark SQL分析Nginx访问日志,大数据,快速入门Spark SQL的数据分析，并实战分析Nginx访问日志。,2714,本课中将系统的讲解SparkSQL的核心知识，并以实战的方式，通过分析Nginx访问日志的实战例子，帮助同学们领略SparkSQL强大简便的数据分析能力，洞悉SparkSQL调优方式及其核心思想。,课程\云计算&大数据\大数据\SparkSQL分析Nginx访问日志,中级," 2小时40分",9.83,4,10.0,9.5,10.0,http://www.imooc.com/learn/1149,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:30
应用SpringCloud完成自定义配置中心开发实践,Java,应用SpringCloud从零开始开发自定义配置中心,4623,"本课程包含微服务配置中心的基本概念，SpringCloud开发步骤和前后端分离的编程方式，并且通过案例入手讲解如何开发一个""零配置""的配置中心。",课程\后端开发\Java\应用SpringCloud完成自定义配置中心开发实践,中级," 4小时40分",8.63,8,9.2,7.5,9.2,http://www.imooc.com/learn/1135,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:30
常用验证码功能实现大全,,2.5小时轻松掌握验证码的制作和使用,3187,,课程\后端开发\Java\常用验证码功能实现大全,入门," 3小时 4分",,,,,,http://www.imooc.com/course/introduction/id/1213,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:30
Go设计模式入门到实践,Go,轻松入门Go设计模式，从基础到实践。,2365,课程将从GO的OOP基础开始讲起，从每个类型中选择一个典型设计模式作为代表，并结合开发中实践进行讲解，围绕“提出设计模式--简单代码推演--实际场景应用”的方式，带你轻松入门设计模式。,课程\后端开发\Go\Go设计模式入门到实践,中级," 1小时40分",8.43,3,8.7,9.3,7.3,http://www.imooc.com/learn/1226,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:31
4小时使用SpringCloud框架实现慕课网主页后端开发,,使用 SpringCloud 实现微服务架构，完成慕课网主页后端开发。,2094,,课程\后端开发\Java\4小时使用SpringCloud框架实现慕课网主页后端开发,中级," 4小时 0分",,,,,,http://www.imooc.com/course/introduction/id/1201,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:31
Jenkins+K8s实现持续集成,测试自动化测试,手把手教你使用jenkins+k8s实现持续集成,16249,本课程介绍jenkins、docker、k8s以及使用一个实例讲解如何实现持续集成、代码的自动化编译打包和部署,课程\运维&测试\测试\Jenkins+K8s实现持续集成,入门," 2小时30分",8.13,16,8.8,8.0,7.6,http://www.imooc.com/learn/1112,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:31
3小时速成 Vue2.x 核心技术,Vue.js,带你快速学习最流行的前端框架vue2.x的核心技术,64553,通过本课程，大家可以了解vue2.x的核心技术，建立前端组件化的思想，包括：常用的vue语法，vue-router，vuex，vue-cli等。我会手把手带大家使用vue-cli工具，快速构建vue项目。认识项目目录的同时，学会如何集成vue2.x到已有项目中，以及调试vue组件。从理论到实践，从小白到熟悉应用，我们配合实际的多案例共同进步。,课程\前端开发\Vue.js\3小时速成Vue2.x核心技术,中级," 3小时15分",9.37,90,9.3,9.5,9.3,http://www.imooc.com/learn/1091,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:32
Python实现机器学习,Python机器学习,使用python手把手教你编程实现机器学习,10804,本门课程将介绍人工智能相关概念，重点讲解机器学习原理机器基本算法：监督学习及非监督学习。使用python，结合sklearn、jupyter-notebook进行编程，介绍iris、匹马印第安人数据集，建立AI模型并评估其表现。新课已上线，欢迎学习。https://coding.imooc.com/class/418.html,课程\后端开发\Python\Python实现机器学习,初级," 2小时48分",9.83,19,9.8,9.8,9.9,http://www.imooc.com/learn/1174,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:32
快速入门Hadoop3.0大数据处理,大数据,快速入门Hadoop3.0数据处理，轻松迈入大数据领域,6170,本课程中内容涵盖Hadoop安装、HDFS分布式存储详解、MapReduce分布式计算详解、Yarn资源调度详解等知识，并最终通过直播平台开播数据统计分析案例帮助大家进一步活学活用。希望通过本课程，帮助大家对Hadoop有一个初步认识，理解Hadoop的一些核心思想和适用场景，以及如何使用Hadoop来进行海量数据的存储和计算分析。,课程\云计算&大数据\大数据\快速入门Hadoop3.0大数据处理,初级," 5小时30分",9.80,10,10.0,10.0,9.4,http://www.imooc.com/learn/1159,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:33
如何做代码审查,,系统性的代码审查认知，对各种低质量问题逐个击破，乘上高质量的快车。,817,,课程\后端开发\Java\如何做代码审查,中级," 2小时15分",,,,,,http://www.imooc.com/course/introduction/id/1225,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:33
《MAYA-98k次时代建模》-下,动效动画,Maya道具98k次世代模型制作,2454,本课程从Maya工程目录的创建、高模低模的制作、UV的拆分、法线贴图的烘培、贴图的制作到最终模型渲染出效果图，完整的介绍了Maya次世代模型制作的整个流程，每个知识点都有详细的介绍。这个课程对想学习游戏次世代模型的同学来说，起到了抛砖引玉的作用，非常适合初学者进行学习。,课程\UI设计&多媒体\动效动画\《MAYA-98k次时代建模》-下,初级," 4小时19分",9.10,3,10.0,10.0,7.3,http://www.imooc.com/learn/1099,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:33
Flutter入门与案例实战,Android,带你入门Flutter，并完成属于自己的第一个Flutter小案例。,26267,本课程将从Flutter和主流前端框架的对比开始带你一步步的入门Flutter。最后通过一个电影推荐Demo的实现，增加同学们对Flutter的深刻认识和兴趣。实战课程：《Flutter从入门到进阶实战携程网App》课程地址：https://coding.imooc.com/class/321.html,课程\移动开发\Android\Flutter入门与案例实战,入门," 2小时32分",9.00,18,8.6,8.8,9.6,http://www.imooc.com/learn/1090,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:34
Gin入门实战,JavaScriptGo,会基础就能上手golang web教程-Gin,8285,了解gin框架的核心概念：路由、中间件、参数绑定；企业中gin各种使用技巧，渐进式搭建基于gin框架的开发脚手架。展示一个项目从无到有的开发全过程；讲解开发api时常遇到的难点问题；讲解如何部署一个项目到线上。实战课：【毕设】基于Vue+Go的微服务网关项目设计与实战，详情如下：https://docs.qq.com/doc/DQmt0SnhoRnJQSXBQ?点击如下链接：https://coding.imooc.com/class/436.html,课程\前端开发\HTML/CSS\Gin入门实战,入门," 2小时15分",8.43,14,8.0,9.0,8.3,http://www.imooc.com/learn/1175,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:34
程序员的自我修养与高效学习方法,,优秀程序员 你所必备的技能素养。,9249,,课程\前端开发\HTML/CSS\程序员的自我修养与高效学习方法,入门," 3小时22分",,,,,,http://www.imooc.com/course/introduction/id/1194,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:34
切图基础教程-前端工程师版,前端工具Photoshop,专门为前端工程师准备的的切图教程。,6237,"课程系统的介绍了PS基本操作工具，掌握蓝湖第三方切图标注工具的基本使用，着重教大家切图的方式和技巧。最终熟练掌握切图，并且游刃有余的处理设计师挖的""坑""。",课程\前端开发\前端工具\切图基础教程-前端工程师版,入门," 1小时39分",8.70,7,8.9,8.6,8.6,http://www.imooc.com/learn/1228,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:34
MAYA-绑定基础,动效动画,从mod环节到tex环节要经过的步骤,937,模型制作完成之后，要产生一个可用的资产文件，需要经过uv、贴图、材质几个步骤、本次课程主要讨论贴图的使用方法。,课程\UI设计&多媒体\动效动画\MAYA-绑定基础,入门," 1小时56分",9.57,3,10.0,10.0,8.7,http://www.imooc.com/learn/1100,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:35
Java高并发之魂：synchronized深度解析,Java,从0开始彻底学会高并发场景下不得不会的synchronized,28782,高并发问题向来是Java程序员进阶的重点，也是面试的难点。想要打通高并发的奇经八脉，synchronized是你不得不趟过的坑，本课程从synchronized，从使用方法到底层原理源码，娓娓道来。还对常见面试题和更深层扩展方面的思考，做出了讲解。本课程由浅入深，适合各阶段工程师观看。悟空老师的实战课1：【Java并发核心知识精讲+Java内存模型+死锁】，传送门https://coding.imooc.com/class/362.html实战课2：《玩转Java并发工具，精通JUC，成为并发多面手》，内容包括：线程池+各种锁+CAS+AQS+ThreadLocal+ConcurrentHashMap+并发综合实战项目，传送门：https://coding.imooc.com/class/409.html,课程\后端开发\Java\Java高并发之魂：synchronized深度解析,中级," 2小时50分",9.57,100,9.8,9.3,9.6,http://www.imooc.com/learn/1086,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:35
【计算机网络篇】从0到1 实现HTTP服务器开发,,"快速&系统 在实践中掌握计算机网络编程基础
",9025,,课程\计算机基础\计算机网络\【计算机网络篇】从0到1实现HTTP服务器开发,初级," 3小时 8分",,,,,,http://www.imooc.com/course/introduction/id/1172,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:35
Android CMake以及NDK实践基础,Android,Android底层开发入门必备，CMake动态库编译和使用，NDK的各种开发技巧。 ,2536,本课程会介绍如何在Android平台上使用CMake进行动态库的编译和使用，同时和会讲解AndroidNDK的各种开发技巧，包括Java与JNI如何进行双向调用交互、NDK层线程创建和同步、引用管理和异常处理，以及NDK中Bitmap的使用，通过这些技巧示例能够让你快速掌握NDK开发。,课程\移动开发\Android\AndroidCMake以及NDK实践基础,初级," 2小时55分",9.80,7,10.0,9.4,10.0,http://www.imooc.com/learn/1212,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:36
Jmeter 接口自动化脚本结构进阶,接口测试,课程主要优化组织Jmeter脚本结构对提升脚本易维护性和效率方面的效果。,3325,结合实际项目展示Jmeter在接口自动化测试中的应用，详细展示Jmeter脚本结构优化方案，并针对这套脚本结构方案中的各个模块的设计思路及实现方式进行详细讲解，切实有效提升通过Jmeter进行接口自动化的能力和效率。,课程\运维&测试\接口测试\Jmeter接口自动化脚本结构进阶,中级," 2小时40分",9.10,3,10.0,9.3,8.0,http://www.imooc.com/learn/1227,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:36
Redis5.0之12项新特性,Redis,解剖 Redis5.0 的12项新特性。,6134,本次课程主要讲解Redis5.0的重要配置项，讲解Stream数据类型，新的SortedSet命令，内存碎片整理以及用新的集群管理器搭建一个简单的集群，重点放在Stream数据类型上面，其它新特性会讲解理论知识和应用场景。,课程\数据库\Redis\Redis5.0之12项新特性,初级," 1小时44分",9.50,7,9.7,9.1,9.7,http://www.imooc.com/learn/1089,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:36
JDK11&12 新特性解读,Java,JDK11、12 新特性的介绍及代码演示,8583,Java语言如今已被广泛应用到科技行业的各个领域，成为当前最热门的计算机语言之一。Java语言版本更新速度很快，每个新版本都能或多或少的影响当前的开发模式。学习Java新版本的特性，能够更加清晰的了解Java未来的发展方向，以及梳理编程的思想。,课程\后端开发\Java\JDK11&12新特性解读,初级," 3小时10分",9.87,10,10.0,9.8,9.8,http://www.imooc.com/learn/553,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:37
vue-cli全集,Vue.js,手把手带你学习从项目创建到项目升级，完美契合企业需求,23780,本课程从vue-cli2项目创建到使用vue-cli3对项目进行升级，手把手教学,课程\前端开发\Vue.js\vue-cli全集,入门," 7小时 0分",9.40,47,9.4,9.3,9.5,http://www.imooc.com/learn/1173,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:37
Python 算法面试难点攻坚课--动态规划,,动态规划和递归作为算法中面试频率很高，是我们这门课程重点攻克对象。,1776,,课程\后端开发\Python\Python算法面试难点攻坚课--动态规划,高级," 6小时52分",,,,,,http://www.imooc.com/course/introduction/id/1211,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:38
MultiDex从基础原理到实践优化,Android,Android进阶学习必备，带你从基础用法到实践优化一站式掌握MultiDex。,1155,本门课程将会由浅入深带领大家学习MultiDex基础用法到实践优化等知识。在课程中会包含Java源码编译过程、Class文件与Dex文件格式的关系、APK包结构、MultiDex原理、类加载机制、Dalvik虚拟机与ART虚拟机的区别、热修复原理等知识点。学习与研究MultiDex不论是对当下工作，还是技术成长相信都会有很大的帮助。,课程\移动开发\Android\MultiDex从基础原理到实践优化,中级," 1小时32分",7.53,3,8.0,7.3,7.3,http://www.imooc.com/learn/1224,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:38
角色动画,动效动画,从0到1结合案例，分析角色动画实现原理，并制作完整的角色动画案例,11868,本套课程涉及知识点简单易懂，是日常工作中最常用的，并且很实用。技术知识只是实现效果的基础而如何打开脑洞利用简单的知识做出好的效果才是我们一直追寻的目标。,课程\UI设计&多媒体\动效动画\角色动画,初级," 1小时 0分",9.83,4,10.0,9.5,10.0,http://www.imooc.com/learn/1088,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:38
MyBatis-Plus进阶,Java,MyBatis-Plus框架进阶课程,12181,本课程是《MyBatis-Plus入门》的延续，在之前的基础上，继续介绍MyBatis-Plus的高级功能，包括逻辑删除、自动填充、乐观锁、性能分析、多租户实现、动态表和SQL注入器等内容。理论加实践相结合的方式进行讲解，定能让你的MyBatis-Plus技能进一步提升。,课程\后端开发\Java\MyBatis-Plus进阶,高级," 2小时10分",9.73,17,10.0,9.3,9.9,http://www.imooc.com/learn/1171,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:38
Grid布局基础,HTML/CSS,Grid二维网格布局系统，跟随时代潮流，掌握新一代的布局方案。,11586,本课程带领大家学习新一代的网页布局方案，弥补了之前网页布局的很多不足。CSS网格布局（又名“网格”）是一个二维的基于网格的布局系统，其目的只在于完全改变我们设计基于网格的用户界面的方式。,课程\前端开发\HTML/CSS\Grid布局基础,中级," 3小时18分",9.33,15,9.9,8.4,9.7,http://www.imooc.com/learn/1111,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:39
4小时快速体验ES6-10的强大,,轻松掌握ES6-10基础语法与新增API！,999,,课程\前端开发\JavaScript\4小时快速体验ES6-10的强大,入门," 4小时 0分",,,,,,http://www.imooc.com/course/introduction/id/1222,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:40
全面掌握Django ORM,PythonDjango,全面掌握Django ORM，以Django官方文档为依据，准确、权威。,8316,Django的一个强大的功能是它的对象关系映射Object-RelationalMapping（ORM），它允许你就像使用SQL一样去和你的数据库交互，本课程将以Django官方文档为依据，通过开发讲师、课程、学生、助教四个模型类，给大家完整透彻的讲解DjangoORM知识体系，为更高级的开发打下坚实基础。课程源码：https://github.com/liaogx/imooc,课程\后端开发\Python\全面掌握DjangoORM,中级," 1小时45分",9.33,26,9.7,9.2,9.1,http://www.imooc.com/learn/1087,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:40
当 React Native 遇到 TypeScript,React.JSReact native,如何在 React Native 项目中使用 TypeScript。,3463,ReactNative可以用使用JavaScript来开发跨平台App，TypeScript为JavaScript添加了强大的静态编译类型系统。如何在ReactNative项目中使用TypeScript来开发？这么课程就是带领大家一起学习使用TypeScript来开发ReactNative项目。老师实战课已上线《ReactNative+TypeScript仿喜马拉雅开发App》https://coding.imooc.com/class/435.html带你深度体验RN的跨平台能力＋TS的全新开发技巧，欢迎撒花拍砖~~,课程\前端开发\JavaScript\当ReactNative遇到TypeScript,中级," 2小时12分",9.53,8,9.8,8.8,10.0,http://www.imooc.com/learn/1169,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:40
Nodejs全栈入门,Node.js,基于node+mysql+react全栈实战,12260,整个项目重点分为2部分，前端通过react+redux实现UI界面和状态管理，后端使用express做web框架，使用mysql作为数据存储，利用sequelize作为ORM，便于通过nodejs管理和操作mysql。,课程\前端开发\Node.js\Nodejs全栈入门,中级," 3小时37分",9.60,19,9.9,9.3,9.6,http://www.imooc.com/learn/1199,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:41
Python爬虫实战数据可视化分析,,网站数据收集分析必备技能,2100,,课程\后端开发\Python\Python爬虫实战数据可视化分析,初级," 3小时 0分",,,,,,http://www.imooc.com/course/introduction/id/1210,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:41
PHP开发APP接口,PHPMySQL,本课程介绍了如何通过PHP面向对象的思想构建一个模块化的APP后台,13451,在前后端分离的时代，使用PHP开发APP后台API（接口）是很多公司的选择。但是传统的PHP开发API没有系统的把PHP当做一个工程化的项目来开发，没有明确各个模块的职责，所以本课程相对的提出了一种比较通用的PHP开发API的方式，简单的从API输入输出、API鉴权，业务异常处理等模块来描述API各个模块以及各个模块之间的关系。在课程的最后，介绍了一个API实例，该实例串联了API的各个模块，让大家达到融汇贯通的效果。,课程\后端开发\PHP\PHP开发APP接口,中级," 2小时59分",9.30,28,9.7,8.8,9.4,http://www.imooc.com/learn/1107,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:41
PHP7的基本变量,PHP,学习PHP7基本变量，掌握PHP7的新特性,8678,本课中重点讲解PHP7的基本变量，如结构体与联合体、宏与大小端、数组、小而巧的zval等。,课程\后端开发\PHP\PHP7的基本变量,入门," 2小时10分",8.83,11,9.1,8.5,8.9,http://www.imooc.com/learn/1085,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:42
二进制与Java中的基本数据类型,Java,从认识二进制开始，逐步理解Java是如何存储和处理数据的。,3753,我们都知道，计算机中都是使用2进制进行存储的。学习好二进制，对理解计算机如何处理数据以及Java中的数据类型在计算机中如何存储，都有实质性的帮助。本课程将从二进制的历史开始讲解位值制计数法、进制转换、小数的二进制化等二进制相关知识。并由此拓展介绍了Java中的整型、浮点型以及字符型。在这里还可以看到BigInteger、BigDecimal如何使用、ASCII与unicode关系等,课程\后端开发\Java\二进制与Java中的基本数据类型,入门," 1小时40分",9.60,5,10.0,8.8,10.0,http://www.imooc.com/learn/1223,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:42
Apache Druid入门与实践,大数据,Apache Druid是一个高性能的实时分析数据库,2626,本课程中将介绍为什么要使用Druid，Druid的使用场景有哪些。带领大家从Druid的原理、安装、使用等方面进行讲解，同时与现有的Hadoop以及Kafka进行集成，让大家能够快速上手Druid的使用。,课程\云计算&大数据\大数据\ApacheDruid入门与实践,中级," 1小时35分",9.17,8,9.5,9.0,9.0,http://www.imooc.com/learn/1147,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:43
零基础入门 mpx 小程序框架,小程序,增强型小程序框架Mpx使用入门教程,6561,小程序开发和web开发相似又不相同，Mpx框架选择了一条不一样的道路，在原生小程序基础上做能力增强，以提升大家的小程序开发体验和效率。本课程会简单讲解Mpx框架的思路和原理，带大家学习Mpx框架的基础能力和简单的进阶使用，体验Mpx框架的优势，学会如何使用Mpx框架开发各种小程序。,课程\前端开发\小程序\零基础入门mpx小程序框架,入门," 2小时56分",9.70,7,9.7,9.7,9.7,http://www.imooc.com/learn/1209,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:43
三小时带你入门Django框架 新版上架,PythonDjango,Python开发上手Web框架的必备课程，三小时带你入门Django框架。,15429,Django框架是时下Python语言最热门的Web框架之一，它是一个功能完善、文档齐全、开发敏捷、配置简单的Web框架，能够快速将一个想法实现，使用它能够快速搭建一个网站，本课程将理论与实践结合，带你三小时入门DjangoWeb框架，让你快速上手Web开发。,课程\后端开发\Python\三小时带你入门Django框架新版上架,初级," 2小时47分",9.73,31,9.7,9.6,9.9,http://www.imooc.com/learn/1110,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:43
Taro多端框架开发外卖首页,React.JS小程序,Taro 一套代码多端运行的框架，带你掌握Taro开发基本语法，以及项目开发,19783,Taro是一套遵循React语法规范的多端开发解决方案。使用Taro，我们可以只书写一套代码，再通过Taro的编译工具，将源代码分别编译出可以在不同端（微信小程序、H5、RN等）运行的代码。其拥有React语法风格的特性，同时支持使用JSX语法，使用Taro开发可以获得和React一致的开发体验。,课程\前端开发\React.JS\Taro多端框架开发外卖首页,中级," 4小时11分",9.33,14,9.7,9.4,8.9,http://www.imooc.com/learn/1084,http://www.imooc.com/course/list?page=5,2020-05-21 16:14:44
Go语言语法进阶指南,Go,了解Go语言各种高级用法，快速提高开发效率,5019,Go语言经过多年的快速发展，已经被光广泛应用到各个领域，成为当前最热的计算机语言之一。Go自带许多高级特性及常用工具，使Go一出世就以高并发和高性能为程序员所追捧。本课程将针对对Go的高级特性和自带工具进行讲解和演示，帮助小伙伴们快速入门提升开发效率！,课程\后端开发\Go\Go语言语法进阶指南,初级," 3小时35分",8.77,7,9.1,8.6,8.6,http://www.imooc.com/learn/1163,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:44
Android应用内升级App,Android,本门课程将大家从0开始撸一个Android应用内升级的Demo。,3259,应用内升级对于每一个Android应用，算是一个标配功能。本门课程将带大家从应用内升级的必要性分析，再到应用升级的几种形式介绍及实现流程解析，最后手把手带大家实现一个应用内升级的案例，除此之外还会分享应用内升级的一些例如完整性校验，防止文件下载错误或被篡改等实现细节。,课程\移动开发\Android\Android应用内升级App,中级," 1小时52分",9.67,8,10.0,9.0,10.0,http://www.imooc.com/learn/1168,http://www.imooc.com/course/list?page=3,2020-05-21 16:14:45
深度学习之LSTM模型,深度学习自然语言处理,学习主流的Lstm模型，能基于Tensorflow开发出Lstm的文本分类功能。,1956,学习主流的Lstm模型，包括Rnn和Lstm的起源和发展，Lstm的模型，Lstm的应用场景，Lstm的训练过程，Lstm的后续发展。学习文本分类的发展，文本分类和深度学习的结合点。学习基于Tensorflow的Lstm文本分类实战。,课程\前沿技术\深度学习\深度学习之LSTM模型,中级," 3小时58分",9.10,3,8.7,9.3,9.3,http://www.imooc.com/learn/1200,http://www.imooc.com/course/list?page=2,2020-05-21 16:14:45
我的云音乐（二）,Android,高仿网易云音乐，从零开始开发一款专属自己的音乐APP。,6237,不仅能学到自定义控件、第三方框架、Realm数据库等知识点，最终还能完成一个炫酷的音乐APP。,课程\移动开发\Android\我的云音乐（二）,中级," 3小时 0分",9.13,17,9.8,8.4,9.2,http://www.imooc.com/learn/1109,http://www.imooc.com/course/list?page=4,2020-05-21 16:14:45
3小时玩转正则表达式,,"理论知识+有趣实战，带你快速高效掌握正则表达式
",1235,,课程\后端开发\Python\3小时玩转正则表达式,入门," 3小时10分",,,,,,http://www.imooc.com/course/introduction/id/1218,http://www.imooc.com/course/list?page=1,2020-05-21 16:14:46
